Tanggal,Periode,Data Inflasi,Siap_Redenominasi
2014-01-01,Januari 2014,8.22,0
2014-02-01,Februari 2014,7.75,0
2014-03-01,Maret 2014,7.32,0
2014-04-01,April 2014,7.25,0
2014-05-01,Mei 2014,7.32,0
2014-06-01,Juni 2014,6.7,0
2014-07-01,Juli 2014,4.53,1
2014-08-01,Agustus 2014,3.99,1
2014-09-01,September 2014,4.53,1
2014-10-01,Oktober 2014,4.83,1
2014-11-01,November 2014,6.23,0
2014-12-01,Desember 2014,8.36,0
2015-01-01,Januari 2015,6.96,0
2015-02-01,Februari 2015,6.29,0
2015-03-01,Maret 2015,6.38,0
2015-04-01,April 2015,6.79,0
2015-05-01,Mei 2015,7.15,0
2015-06-01,Juni 2015,7.26,0
2015-07-01,Juli 2015,7.26,0
2015-08-01,Agustus 2015,7.18,0
2015-09-01,September 2015,6.83,0
2015-10-01,Oktober 2015,6.25,0
2015-11-01,November 2015,4.89,1
2015-12-01,Desember 2015,3.35,1
2016-01-01,Januari 2016,4.14,1
2016-02-01,Februari 2016,4.42,1
2016-03-01,Maret 2016,4.45,1
2016-04-01,April 2016,3.6,1
2016-05-01,Mei 2016,3.33,1
2016-06-01,Juni 2016,3.45,1
2016-07-01,Juli 2016,3.21,1
2016-08-01,Agustus 2016,2.79,1
2016-09-01,September 2016,3.07,1
2016-10-01,Oktober 2016,3.31,1
2016-11-01,November 2016,3.58,1
2016-12-01,Desember 2016,3.02,1
2017-01-01,Januari 2017,3.49,1
2017-02-01,Februari 2017,3.83,1
2017-03-01,Maret 2017,3.61,1
2017-04-01,April 2017,4.17,1
2017-05-01,Mei 2017,4.33,1
2017-06-01,Juni 2017,4.37,1
2017-07-01,Juli 2017,3.88,1
2017-08-01,Agustus 2017,3.82,1
2017-09-01,September 2017,3.72,1
2017-10-01,Oktober 2017,3.58,1
2017-11-01,November 2017,3.3,1
2017-12-01,Desember 2017,3.61,1
2018-01-01,Januari 2018,3.25,1
2018-02-01,Februari 2018,3.18,1
2018-03-01,Maret 2018,3.4,1
2018-04-01,April 2018,3.41,1
2018-05-01,Mei 2018,3.23,1
2018-06-01,Juni 2018,3.12,1
2018-07-01,Juli 2018,3.18,1
2018-08-01,Agustus 2018,3.2,1
2018-09-01,September 2018,2.88,1
2018-10-01,Oktober 2018,3.16,1
2018-11-01,November 2018,3.23,1
2018-12-01,Desember 2018,3.13,1
2019-01-01,Januari 2019,2.82,1
2019-02-01,Februari 2019,2.57,1
2019-03-01,Maret 2019,2.48,1
2019-04-01,April 2019,2.83,1
2019-05-01,Mei 2019,3.32,1
2019-06-01,Juni 2019,3.28,1
2019-07-01,Juli 2019,3.32,1
2019-08-01,Agustus 2019,3.49,1
2019-09-01,September 2019,3.39,1
2019-10-01,Oktober 2019,3.13,1
2019-11-01,November 2019,3.0,1
2019-12-01,Desember 2019,2.72,1
2020-01-01,Januari 2020,2.68,1
2020-02-01,Februari 2020,2.98,1
2020-03-01,Maret 2020,2.96,1
2020-04-01,April 2020,2.67,1
2020-05-01,Mei 2020,2.19,1
2020-06-01,Juni 2020,1.96,1
2020-07-01,Juli 2020,1.54,1
2020-08-01,Agustus 2020,1.32,1
2020-09-01,September 2020,1.42,1
2020-10-01,Oktober 2020,1.44,1
2020-11-01,November 2020,1.59,1
2020-12-01,Desember 2020,1.68,1
2021-01-01,Januari 2021,1.55,1
2021-02-01,Februari 2021,1.38,1
2021-03-01,Maret 2021,1.37,1
2021-04-01,April 2021,1.42,1
2021-05-01,Mei 2021,1.68,1
2021-06-01,Juni 2021,1.33,1
2021-07-01,Juli 2021,1.52,1
2021-08-01,Agustus 2021,1.59,1
2021-09-01,September 2021,1.6,1
2021-10-01,Oktober 2021,1.66,1
2021-11-01,November 2021,1.75,1
2021-12-01,Desember 2021,1.87,1
2022-01-01,Januari 2022,2.18,1
2022-02-01,Februari 2022,2.06,1
2022-03-01,Maret 2022,2.64,1
2022-04-01,April 2022,3.47,1
2022-05-01,Mei 2022,3.55,1
2022-06-01,Juni 2022,4.35,1
2022-07-01,Juli 2022,4.94,1
2022-08-01,Agustus 2022,4.69,1
2022-09-01,September 2022,5.95,0
2022-10-01,Oktober 2022,5.71,0
2022-11-01,November 2022,5.42,0
2022-12-01,Desember 2022,5.51,0
2023-01-01,Januari 2023,5.28,0
2023-02-01,Februari 2023,5.47,0
2023-03-01,Maret 2023,4.97,1
2023-04-01,April 2023,4.33,1
2023-05-01,Mei 2023,4.0,1
2023-06-01,Juni 2023,3.52,1
2023-07-01,Juli 2023,3.08,1
2023-08-01,Agustus 2023,3.27,1
2023-09-01,September 2023,2.28,1
2023-10-01,Oktober 2023,2.56,1
2023-11-01,November 2023,2.86,1
2023-12-01,Desember 2023,2.61,1
2024-01-01,Januari 2024,2.57,1
2024-02-01,Februari 2024,2.75,1
2024-03-01,Maret 2024,3.05,1
2024-04-01,April 2024,3.0,1
2024-05-01,Mei 2024,2.84,1
2024-06-01,Juni 2024,2.51,1
2024-07-01,Juli 2024,2.13,1
2024-08-01,Agustus 2024,2.12,1
